true_label,predicted_label,confidence,entropy,margin
0,0,0.937173820368239,0.23467406310585276,0.8743476407364781
0,0,0.9503512527434794,0.19747969946416244,0.9007025054869587
0,0,0.9979658490713085,0.014639090619687534,0.9959316981426168
0,0,0.9991611135256031,0.006780732468145754,0.9983222270512062
0,0,0.9371688152457088,0.2346875892213088,0.8743376304914174
1,0,0.9998082019443018,0.001833392172637125,0.9996164038886034
1,1,0.9359420331366021,0.23799015720795735,0.8718840662732043
1,1,0.9999993358020002,1.0112205462347735e-05,0.9999986716040004
0,0,0.9495830623537428,0.19974106573873956,0.8991661247074855
1,1,0.7965249945756638,0.505182229907697,0.5930499891513276
0,0,0.9994923500893759,0.0043584103532829195,0.9989847001787517
1,0,0.9976661136818533,0.01647502628484174,0.9953322273637067
1,1,0.9360040479540973,0.2378238159497382,0.8720080959081946
0,0,0.9371103001591045,0.2348456920220934,0.8742206003182087
0,0,0.9996955446865116,0.0027695794448508917,0.999391089373023
1,1,0.9832980315467942,0.08490998207746829,0.9665960630935881
0,0,0.9371643082870675,0.234699768707536,0.8743286165741349
0,0,0.9492453646464084,0.20073125498349664,0.8984907292928168
0,0,0.9969700547711536,0.020596641202014647,0.9939401095423073
0,0,0.999585703935656,0.0036411331555405053,0.9991714078713122
1,1,0.9999999491377837,9.0504967669996e-07,0.9999998982755673
0,0,0.9998390137935849,0.0015670576628702625,0.9996780275871696
1,1,0.936022057145798,0.2377754981833139,0.872044114291596
0,0,0.9979474836087449,0.014752793596942978,0.9958949672174897
0,0,0.999797067102579,0.0019283766995908482,0.9995941342051581
1,1,0.926819802465055,0.2617885157374392,0.8536396049301102
1,1,0.9999999501972988,8.872449120709397e-07,0.9999999003945976
1,1,0.9999999615701641,6.945974433749538e-07,0.9999999231403283
1,1,0.9360467129174388,0.2377093391898918,0.8720934258348777
1,0,0.8820830611814932,0.36275398856179714,0.7641661223629863
1,0,0.9157856674633974,0.28894346275286936,0.8315713349267948
1,1,0.9999968454647801,4.311198494781241e-05,0.9999936909295603
1,1,0.9360012089100521,0.2378314324697362,0.8720024178201042
1,1,0.8471357645211792,0.427645388734468,0.6942715290423583
0,0,0.9996490253019822,0.0031428453713770316,0.9992980506039644
0,0,0.997947493386702,0.014752733104277136,0.9958949867734038
1,1,0.7005208979114125,0.6104223001203226,0.40104179582282495
1,0,0.9672572683164834,0.14415057182103766,0.9345145366329666
1,1,0.9999978077424951,3.075863909475207e-05,0.9999956154849904
0,0,0.9995485802094738,0.003928655475323368,0.9990971604189477
0,0,0.9632921212978007,0.15733661723813108,0.9265842425956016
